state,region,pop,SATV,SATM,percent,dollars,pay,PerhourPy
AL,ESC,4041,470,514,8,3.648,27,7.401315789
AK,PAC,550,438,476,42,7.887,43,5.452009636
AZ,MTN,3665,445,497,25,4.231,30,7.090522335
AR,WSC,2351,470,511,6,3.334,23,6.898620276
CA,PAC,29760,419,484,45,4.826,39,8.081226689
CO,MTN,3294,456,513,28,4.809,31,6.446246621
CT,NE,3287,430,471,74,7.914,43,5.433409148
DE,SA,666,433,470,58,6.016,35,5.817819149
DC,SA,607,409,441,68,8.21,39,4.750304507
FL,SA,12938,418,466,44,5.154,30,5.820721769
GA,SA,6478,401,443,57,4.86,29,5.967078189
HI,PAC,1108,404,481,52,5.008,32,6.389776358
ID,MTN,1007,466,502,17,3.2,25,7.8125
IL,ENC,11431,466,528,16,5.062,34,6.716712762
IN,ENC,5544,408,459,54,5.051,32,6.335379133
IA,WNC,2777,511,577,5,4.839,28,5.786319487
KS,WNC,2478,492,548,10,5.009,29,5.789578758
KY,ESC,3685,473,521,10,4.39,29,6.605922551
LS,WSC,4220,476,517,9,4.012,26,6.480558325
ME,NE,1228,423,463,60,5.894,28,4.750593824
MD,SA,4781,430,478,59,6.184,38,6.144890039
MA,NE,6016,427,473,72,6.351,36,5.668398677
MI,ENC,9295,454,514,12,5.257,38,7.228457295
MN,WNC,4375,477,542,14,5.26,33,6.273764259
MS,ESC,2573,477,519,4,3.322,24,7.224563516
MO,WNC,5117,473,522,12,4.415,28,6.342015855
MT,MTN,799,464,523,20,5.184,26,5.015432099
NE,WNC,1578,484,546,10,4.381,26,5.934718101
NV,MTN,1202,434,487,24,4.564,32,7.011393514
NH,NE,1109,442,486,67,5.504,31,5.632267442
NJ,MA,7730,418,473,69,9.159,38,4.148924555
NM,MTN,1515,480,527,12,4.446,26,5.847953216
NY,MA,17990,412,470,70,8.5,42,4.941176471
NC,SA,6629,401,440,55,4.802,29,6.039150354
ND,WNC,639,505,564,6,3.685,23,6.241519674
OH,ENC,10847,450,499,22,5.639,32,5.674765029
OK,WSC,3146,478,523,9,3.742,24,6.413682523
OR,PAC,2842,439,484,49,5.291,32,6.048006048
PA,MA,11882,420,463,64,6.534,36,5.509641873
RI,NE,1003,422,461,62,6.989,37,5.294033481
SC,SA,3487,397,437,54,4.327,28,6.470996071
SD,WNC,696,506,555,5,3.73,22,5.898123324
TN,ESC,4877,483,525,12,3.707,28,7.553277583
TX,WSC,16987,413,461,42,4.238,28,6.606890042
UT,MTN,1723,492,539,5,2.993,25,8.352823254
VT,NE,563,431,466,62,5.74,31,5.400696864
VA,SA,6187,425,470,58,5.36,32,5.970149254
WA,PAC,4867,437,486,44,5.045,33,6.541129832
WV,SA,1793,443,490,15,5.046,26,5.152596116
WI,ENC,4892,476,543,11,5.946,33,5.549949546
WY,MTN,454,458,519,13,5.255,29,5.518553758
